transaction_id,amount,method,payment_date,trip_id,client_id
364,494346.74,crypto,2025-01-09,66,180
365,499563.8,card,2025-03-17,75,181
366,242111.56,card,2024-08-29,21,181
367,79251.34,crypto,2024-08-08,3,182
368,3669048.07,transfer,2025-06-08,34,182
369,79251.34,crypto,2025-02-06,3,183
370,176937.71,crypto,2025-01-03,87,183
371,609677.95,transfer,2024-10-07,18,184
372,93696.13,transfer,2025-03-27,67,184
373,415696.86,card,2024-08-20,95,184
374,198966.34,card,2025-05-29,77,185
375,93696.13,transfer,2024-08-02,67,185
376,129029.38,transfer,2025-05-16,4,185
377,93285.58,transfer,2024-10-08,58,186
378,138674.18,transfer,2024-10-12,45,186
379,46552.26,crypto,2025-02-03,61,186
380,1054189.91,card,2024-10-05,24,187
381,155232.06,transfer,2025-04-19,11,187
382,36224.94,crypto,2024-07-06,85,188
383,499563.8,card,2024-06-22,75,189
384,46552.26,card,2024-08-02,61,190
385,1057243.7,transfer,2025-02-08,50,191
386,267287.33,crypto,2024-12-10,20,192
387,89984.51,transfer,2025-01-25,10,192
388,50014.27,crypto,2024-06-30,46,193
389,1144661.1,card,2025-05-03,12,194
390,90021.9,transfer,2024-12-03,76,194
391,4774754.74,card,2025-05-17,23,195
392,79251.34,transfer,2024-12-23,3,196
393,389798.58,transfer,2024-09-01,1,196
394,176937.71,card,2024-08-04,87,196
395,716041.2,crypto,2025-02-10,60,197
396,190647.86,crypto,2024-06-25,70,197
397,415696.86,transfer,2024-12-26,95,197
398,299010.94,crypto,2025-03-02,49,198
399,85365.21,transfer,2024-12-29,47,198
400,216984.4,card,2025-04-22,31,198
401,716041.2,transfer,2025-06-11,60,199
402,112535.94,crypto,2024-11-10,55,200
403,81855.4,crypto,2025-05-13,22,201
404,90021.9,card,2024-10-24,76,201
405,2763839.79,card,2024-10-09,14,201
406,762675.24,crypto,2025-03-20,27,202
407,487656.91,transfer,2024-06-25,17,203
408,299010.94,crypto,2024-07-21,49,203
409,261767.27,card,2025-02-08,40,203
410,90021.9,card,2024-08-18,76,204
411,242111.56,crypto,2024-10-26,21,204
412,129029.38,crypto,2024-12-05,4,205
413,2781929.0,card,2025-05-31,42,205
414,1905649.15,card,2024-06-17,29,205
415,46552.26,crypto,2024-11-22,61,206
416,190647.86,crypto,2024-08-08,70,207
417,176937.71,crypto,2025-02-17,87,208
418,499563.8,card,2025-04-21,75,208
419,16097.48,crypto,2024-11-25,83,209
420,390198.65,transfer,2025-05-06,84,209
421,390198.65,crypto,2025-06-12,84,210
422,415696.86,transfer,2024-09-28,95,210
423,55828.65,crypto,2025-04-03,92,210
424,24676.73,card,2024-08-07,94,211
425,247647.99,crypto,2024-11-18,74,211
426,55828.65,crypto,2024-10-23,92,211
427,79251.34,crypto,2025-01-03,3,212
428,24676.73,crypto,2025-03-14,94,212
429,93317.63,card,2024-11-16,88,213
430,56039.73,transfer,2024-10-30,6,214
431,376300.87,crypto,2025-02-14,93,214
432,36224.94,transfer,2024-07-25,85,215
433,56039.73,crypto,2025-04-28,6,216
434,155232.06,transfer,2025-05-02,11,217
435,140846.04,crypto,2024-10-19,44,217
436,125264.43,transfer,2025-01-31,54,217
437,30719.42,transfer,2024-12-14,72,218
438,131496.52,crypto,2025-05-08,32,218
439,16097.48,card,2024-09-30,83,218
440,324939.73,transfer,2025-01-26,62,219
441,56039.73,card,2024-10-11,6,220
442,494346.74,card,2024-08-31,66,221
443,335619.82,crypto,2024-10-03,53,221
444,93696.13,crypto,2025-03-05,67,221
445,425270.84,transfer,2025-01-09,90,222
446,86779.7,card,2024-09-08,57,222
447,30719.42,card,2025-04-03,72,222
448,346010.59,transfer,2024-10-18,41,223
449,93317.63,transfer,2024-11-10,88,223
450,257823.53,transfer,2025-04-07,69,223
451,153678.95,transfer,2025-03-05,73,224
452,216984.4,card,2025-06-08,31,224
453,25377.31,card,2024-11-04,30,225
454,242111.56,card,2024-07-21,21,226
455,153678.95,transfer,2024-09-27,73,226
456,518566.15,crypto,2025-03-31,28,226
457,425116.58,crypto,2024-08-04,15,227
458,209298.96,crypto,2025-01-05,78,227
459,58991.5,transfer,2025-04-01,2,227
460,24676.73,card,2025-05-07,94,228
461,82005.86,transfer,2024-11-06,80,228
462,389798.58,transfer,2025-05-21,1,228
463,125264.43,transfer,2025-05-15,54,229
464,166990.49,transfer,2025-03-22,91,229
465,2137969.3,card,2025-05-24,35,230
466,30719.42,transfer,2024-10-06,72,230
467,307456.34,crypto,2025-03-25,64,230
468,389798.58,crypto,2024-12-24,1,231
469,163814.94,transfer,2025-03-20,19,231
470,1054189.91,crypto,2024-10-19,24,231
471,499118.91,crypto,2025-04-06,52,232
472,89984.51,card,2025-03-21,10,233
473,163814.94,crypto,2025-06-15,19,233
474,245923.82,card,2024-12-09,7,234
475,366341.88,transfer,2024-10-16,71,235
476,86779.7,card,2025-03-17,57,235
477,181747.73,crypto,2025-06-14,51,235
478,422562.0,card,2024-07-24,33,236
479,112535.94,crypto,2025-02-17,55,236
480,46552.26,crypto,2024-07-08,61,237
481,2763839.79,card,2024-08-17,14,237
482,90021.9,transfer,2024-11-11,76,237
483,267551.59,transfer,2024-09-02,43,238
484,90021.9,card,2024-10-31,76,238
485,198966.34,crypto,2024-06-28,77,239
486,178781.4,crypto,2024-09-12,38,240
487,129029.38,card,2025-01-16,4,240
488,314814.14,transfer,2025-05-12,39,240
489,138674.18,card,2024-10-16,45,241
490,299010.94,card,2025-03-18,49,241
491,86779.7,transfer,2024-10-24,57,242
492,425270.84,crypto,2025-05-22,90,243
493,267551.59,crypto,2025-05-13,43,243
494,181770.3,crypto,2024-07-21,63,243
495,346010.59,card,2024-08-21,41,244
496,55828.65,transfer,2024-10-28,92,245
497,376300.87,crypto,2024-10-25,93,245
498,89984.51,transfer,2024-10-03,10,246
499,314814.14,crypto,2024-12-29,39,246
500,193822.45,crypto,2025-03-11,5,247
501,138674.18,crypto,2024-11-29,45,247
502,257823.53,card,2024-09-21,69,247
503,58991.5,transfer,2025-05-22,2,248
504,90021.9,transfer,2025-02-07,76,248
505,4636516.55,card,2024-07-25,16,249
506,533244.54,card,2024-10-11,48,250
507,114325.32,card,2025-02-27,89,250
508,389798.58,crypto,2024-06-26,1,250
509,762675.24,transfer,2024-07-18,27,251
510,4636516.55,crypto,2025-01-06,16,251
511,139687.94,transfer,2025-03-15,68,251
512,376300.87,transfer,2024-08-02,93,252
513,232140.5,card,2024-10-12,97,252
514,81855.4,crypto,2025-02-15,22,252
515,1054189.91,crypto,2024-08-23,24,253
516,609677.95,crypto,2024-06-29,18,253
517,148704.71,card,2024-11-07,8,254
518,422562.0,card,2024-10-19,33,255
519,61492.09,crypto,2024-12-24,59,255
520,131496.52,transfer,2024-07-18,32,255
521,518566.15,transfer,2024-11-12,28,256
522,163814.94,crypto,2025-01-30,19,257
523,93696.13,card,2025-06-02,67,258
524,415696.86,card,2024-09-16,95,258
525,307456.34,card,2025-05-19,64,258
526,90021.9,transfer,2024-10-30,76,259
527,73664.99,card,2024-12-13,36,259
528,314814.14,card,2024-07-30,39,260
529,61492.09,crypto,2024-08-03,59,261
530,1054189.91,card,2024-08-13,24,261
531,56039.73,transfer,2024-12-06,6,262
532,112535.94,crypto,2024-10-30,55,263
533,268872.84,card,2025-01-01,86,263
534,425116.58,transfer,2024-08-02,15,264
535,76051.12,crypto,2024-09-08,9,264
536,609677.95,transfer,2025-06-13,18,265
537,376300.87,crypto,2024-07-01,93,265
538,198966.34,card,2025-01-11,77,265
539,50014.27,transfer,2024-09-23,46,266
540,181770.3,card,2025-01-05,63,267
541,56039.73,transfer,2024-09-05,6,268
542,181747.73,transfer,2025-04-05,51,268
543,494346.74,crypto,2024-07-03,66,268
544,113798.86,card,2024-09-29,37,269
545,47521.31,crypto,2025-04-29,96,269
546,499118.91,card,2025-05-18,52,269
547,190647.86,crypto,2025-03-07,70,270
548,487656.91,transfer,2024-12-28,17,270
549,25377.31,crypto,2024-08-31,30,271
550,216984.4,card,2024-11-26,31,271
551,153678.95,card,2025-06-16,73,271
552,4774754.74,crypto,2024-08-26,23,272
553,86779.7,card,2024-11-17,57,273
554,90021.9,transfer,2024-10-27,76,273
555,425116.58,card,2024-10-15,15,274
556,148704.71,card,2024-11-12,8,274
557,716041.2,crypto,2025-05-19,60,275
558,90021.9,card,2025-04-24,76,275
559,1144661.1,transfer,2024-11-25,12,276
560,76051.12,crypto,2024-09-01,9,277
561,125264.43,crypto,2025-04-29,54,278
562,73664.99,crypto,2024-08-01,36,278
563,261767.27,card,2025-03-23,40,278
564,487656.91,crypto,2024-09-28,17,279
565,93696.13,transfer,2024-11-10,67,280
566,90021.9,transfer,2024-08-22,76,280
567,148704.71,transfer,2025-03-29,8,281
568,261767.27,card,2025-02-18,40,282
569,55828.65,card,2024-09-06,92,282
570,178781.4,transfer,2025-02-24,38,282
571,55828.65,card,2024-08-21,92,283
572,30719.42,card,2024-08-12,72,284
573,198966.34,card,2024-12-02,77,285
574,178781.4,transfer,2024-12-26,38,285
575,232140.5,transfer,2024-07-20,97,285
576,1054189.91,transfer,2025-03-29,24,286
577,2781929.0,transfer,2025-01-17,42,286
578,2137969.3,crypto,2024-08-14,35,286
579,762675.24,transfer,2024-10-15,27,287
580,242111.56,transfer,2025-04-13,21,288
581,216984.4,transfer,2024-08-27,31,288
582,81855.4,transfer,2025-03-12,22,288
583,334367.45,card,2024-12-23,25,289
584,30719.42,card,2025-04-05,72,290
585,73664.99,card,2025-05-03,36,291
586,487656.91,transfer,2025-04-04,17,291
587,425270.84,crypto,2025-05-06,90,292
588,76051.12,transfer,2025-02-06,9,292
589,181770.3,card,2024-10-09,63,292
590,82005.86,card,2024-07-02,80,293
591,267551.59,transfer,2024-10-14,43,293
592,1794990.64,transfer,2025-01-14,81,293
593,422562.0,crypto,2024-11-19,33,294
594,244794.12,card,2024-09-29,79,295
595,1905649.15,card,2025-01-20,29,295
596,487656.91,card,2025-04-23,17,295
597,181770.3,crypto,2025-04-16,63,296
598,56039.73,card,2025-05-13,6,297
599,181770.3,crypto,2025-06-14,63,297
600,125264.43,transfer,2025-03-15,54,298
601,307456.34,transfer,2024-10-13,64,299
602,114325.32,transfer,2024-09-28,89,299
603,716041.2,transfer,2025-05-13,60,299
604,4774754.74,crypto,2024-09-05,23,300
605,193822.45,crypto,2024-11-20,5,300
606,85365.21,transfer,2025-03-10,47,301
607,4299483.75,crypto,2024-10-30,13,302
608,198966.34,transfer,2025-04-24,77,303
609,4774754.74,transfer,2024-09-14,23,303
610,487656.91,crypto,2024-12-09,17,304
611,2137969.3,crypto,2024-06-19,35,304
612,232140.5,crypto,2024-12-03,97,304
613,261767.27,card,2024-06-23,40,305
614,299010.94,transfer,2024-09-01,49,305
615,1057243.7,crypto,2024-11-07,50,306
616,56039.73,card,2025-03-17,6,306
617,79251.34,card,2024-10-26,3,306
618,499563.8,crypto,2024-07-30,75,307
619,2763839.79,transfer,2024-07-16,14,308
620,499563.8,crypto,2024-12-08,75,308
621,36224.94,transfer,2025-01-30,85,308
622,307456.34,crypto,2024-07-20,64,309
623,261767.27,crypto,2024-08-15,40,309
624,61492.09,transfer,2025-01-26,59,310
625,155232.06,transfer,2025-03-25,11,310
626,2763839.79,crypto,2025-04-12,14,311
627,1905649.15,card,2024-06-19,29,311
628,499118.91,card,2024-06-18,52,312
629,716041.2,transfer,2024-08-23,60,312
630,176937.71,card,2024-10-10,87,313
631,47521.31,transfer,2024-11-29,96,313
632,50014.27,card,2024-08-17,46,313
633,85365.21,crypto,2025-01-31,47,314
634,762675.24,crypto,2024-10-31,27,314
635,163814.94,transfer,2024-08-22,19,314
636,244794.12,card,2024-07-03,79,315
637,125264.43,transfer,2025-01-15,54,316
638,273358.56,crypto,2025-05-16,56,316
639,209298.96,transfer,2024-06-22,78,317
640,113798.86,transfer,2024-09-26,37,317
641,90021.9,crypto,2025-01-29,76,317
642,346010.59,crypto,2024-12-29,41,318
643,58991.5,crypto,2025-05-24,2,318
644,242111.56,card,2024-06-26,21,318
645,499563.8,card,2025-01-13,75,319
646,1144661.1,card,2024-10-18,12,319
647,1905649.15,transfer,2024-12-23,29,320
648,2763839.79,card,2025-03-17,14,320
649,216984.4,transfer,2025-04-30,31,320
